Fish Species,Season,Water Temp,Water Clarity,Weather,Time of Day,Waterbody Type,Best Baits (Retrieve Styles),Recommended Bait Colors,Where to Fish,Target Depth
Bluegill,Spring,Cold (55-60F),Clear,Sunny,Morning,Lake,Worm under bobber (static) & Tiny crankbait (slow retrieve),Natural brown & Chrome,Gravel flats & Submerged timber,2-4 feet
Bluegill,Spring,Cold (55-60F),Clear,Sunny,Afternoon,Lake,"Cricket under bobber (slow twitch) & 1"" swimbait (steady)",Chartreuse & Silver,Near drop-offs & Shallow brush,3-5 feet
Bluegill,Spring,Cold (55-60F),Clear,Sunny,Evening,Lake,Worm piece on jighead (lift-drop) & Beetle spin (slow roll),Black & White,Flooded vegetation & Dock edges,2-4 feet
Bluegill,Spring,Cold (55-60F),Clear,Cloudy,Morning,Lake,Tiny hair jig (slow drag) & Waxworm under bobber (drift),White & Pink,Timber edges & Channel swings,3-5 feet
Bluegill,Spring,Cold (55-60F),Clear,Cloudy,Afternoon,Lake,Worm under bobber (static) & Small spinner (slow),Pumpkin & Gold,Rocky banks & Grass pockets,2-4 feet
Bluegill,Spring,Cold (55-60F),Clear,Cloudy,Evening,Lake,Cricket under bobber (twitch) & Curl tail grub (slow roll),Green & Orange,Brushy coves & Open shallows,2-3 feet
Bluegill,Spring,Cold (55-60F),Clear,Windy,Morning,Lake,Inline spinner (slow roll) & Worm on jighead (hop),Silver & Chartreuse,Windswept flats & Timber clusters,3-5 feet
Bluegill,Spring,Cold (55-60F),Clear,Windy,Afternoon,Lake,Worm under slip bobber (static) & Small swimbait (slow),Gold & Smoke,Wind-blown coves & Grass edges,2-4 feet
Bluegill,Spring,Cold (55-60F),Clear,Windy,Evening,Lake,Waxworm under bobber (drift) & Curl tail grub (lift-drop),White & Yellow,Backwater pockets & Riprap edges,2-3 feet
Bluegill,Spring,Cold (55-60F),Clear,Rainy,Morning,Lake,Cricket under bobber (twitch) & Beetle spin (slow roll),Black & Orange,Brush piles & Stump fields,2-4 feet
Bluegill,Spring,Cold (55-60F),Clear,Rainy,Afternoon,Lake,Worm on jighead (hop-hop) & Tiny crankbait (pause-pull),Green pumpkin & Bluegill pattern,Rock ledges & Timber ends,3-5 feet
Bluegill,Spring,Cold (55-60F),Clear,Rainy,Evening,Lake,Worm under bobber (static) & Micro spoon (slow flutter),Natural & Silver,Over grass beds & Boat docks,2-4 feet
Bluegill,Spring,Cold (55-60F),Clear,After Rain,Morning,Lake,Waxworm under bobber (drift) & Curl tail grub (slow roll),Chartreuse & Pink,Shallow mud pockets & Grass,2-3 feet
Bluegill,Spring,Cold (55-60F),Clear,After Rain,Afternoon,Lake,Cricket under bobber (light twitch) & Small inline spinner (steady),White & Red,Flooded brush & Timber edges,3-4 feet
Bluegill,Spring,Cold (55-60F),Clear,After Rain,Evening,Lake,Worm under bobber (still) & Jighead worm (hop),Pumpkin & Natural,Rock flats & Brushy coves,2-4 feet
Bluegill,Spring,Mild (60-68F),Clear,Sunny,Morning,Lake,Worm under bobber (static) & Micro crankbait (pause-pull),Natural & Silver blue,Weed edges & Sand bars,2-4 feet
Bluegill,Spring,Mild (60-68F),Clear,Sunny,Afternoon,Lake,Cricket under bobber (twitch) & Small curly grub (drag),Chartreuse & Black,Gravel points & Brush edges,2-3 feet
Bluegill,Spring,Mild (60-68F),Clear,Sunny,Evening,Lake,Tiny hair jig (hop-hop) & Waxworm under bobber (drift),Pink & White,Flooded grass & Dock posts,2-3 feet
Bluegill,Spring,Mild (60-68F),Clear,Cloudy,Morning,Lake,Worm on jighead (slow lift) & Inline spinner (slow roll),Gold & Pumpkinseed,Fallen trees & Channel seams,3-4 feet
Bluegill,Spring,Mild (60-68F),Clear,Cloudy,Afternoon,Lake,Cricket under bobber (drift) & Tiny spoon (flutter),Green pumpkin & Silver,Flooded brush & Rock banks,2-3 feet
Bluegill,Spring,Mild (60-68F),Clear,Cloudy,Evening,Lake,Waxworm under bobber (still) & Jighead worm (lift-drop),Natural & Orange,Vegetation walls & Shaded pockets,2-3 feet
Bluegill,Spring,Mild (60-68F),Clear,Windy,Morning,Lake,Inline spinner (slow roll) & Worm under slip bobber (still),Chartreuse & Silver,Wind-blown flats & Brush clusters,2-4 feet
