Fish Species,Season,Water Temp,Water Clarity,Weather,Time of Day,Waterbody Type,Best Baits (Retrieve Styles),Recommended Bait Colors,Where to Fish,Target Depth
Crappie,Pre-Spawn,Cold (48-51F),Clear,Sunny,Morning,Lake,Vertical jig with minnow (slow lift-drop) & Hair jig (deadstick),Chartreuse & White & Shad & Blue,Standing timber edges & Channel bends,10-15 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Sunny,Afternoon,Lake,Tube jig (pause-lift) & Jig/minnow combo (hover),Pearl & Blue ice & Natural & Silver,Deep brush piles & Main lake ledges,12-16 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Sunny,Evening,Lake,Small swimbait (slow roll) & Minnow under float (still),White & Pink & Chartreuse & Monkey milk,Drop-offs near stumps & Gravel shelves,11-14 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Cloudy,Morning,Lake,Marabou jig (tap-drag) & 1/32 oz jig with curl tail (hold),Natural & Chartreuse & Firetiger & White,Stump fields & Brushy slopes,10-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Cloudy,Afternoon,Lake,Hair jig (pulse) & Tight-line with minnow (slow drift),Shad & Glow & Chartreuse & Blue,Rocky ledges & Timber breaks,12-15 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Cloudy,Evening,Lake,Minnow under float (pause) & Soft plastic grub (bounce),Gold & Silver & Pearl & Natural,Deep timber & Creek mouths,10-14 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Windy,Morning,Lake,Tube jig (tap-lift) & Hair jig (flutter),Pink & Chartreuse & White & Silver,Wind-blown brush edges & Point drops,11-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Windy,Afternoon,Lake,Jighead with soft plastic (pulse) & Minnow on slip rig (still),Blue ice & Natural & Orange & Glow,Rock humps & Channel edges,12-16 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Windy,Evening,Lake,Small grub (drag) & Jigging spoon (pause-drop),Chartreuse & Pink & White & Chrome,Timber flats & Slope transitions,11-14 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Rainy,Morning,Lake,Vertical jig (deadstick) & Tube jig (hover),Silver & Firetiger & Glow & Monkey milk,Eroded creek channels & Brush rows,10-13 feet
