Fish Species,Season,Water Temp,Water Clarity,Weather,Time of Day,Waterbody Type,Best Baits (Retrieve Styles),Recommended Bait Colors,Where to Fish,Target Depth
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Sunny,Morning,Lake,Jerkbait (twitch-pause) & Jig (slow drag),Natural shad & Green pumpkin,Mid-depth rocky points & Secondary points,6-12 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Sunny,Afternoon,Lake,Jerkbait (twitch-pause) & Finesse worm (shaky head),Natural shad & Watermelon seed,Gravel bars & Secondary points,5-10 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Sunny,Evening,Lake,Finesse worm (shaky head) & Ned rig (slow hop),Watermelon red & Green pumpkin,Gravel banks near spawning flats & Main lake pockets,4-8 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Cloudy,Morning,Lake,Swimbait (slow roll) & Jerkbait (pause-twitch),Ghost minnow & Natural shad,Shallow secondary points & Gravel bars,5-10 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Cloudy,Afternoon,Lake,Jerkbait (long pause) & Spinnerbait (slow roll),Ghost minnow & White/chartreuse,Main lake pockets & Wind-blown points,6-12 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Cloudy,Evening,Lake,Spinnerbait (slow roll) & Flat-side crankbait (steady retrieve),White/chartreuse & Sexy shad,Wind-blown points & Rocky flats,5-9 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Windy,Morning,Lake,Lipless crankbait (yo-yo retrieve) & Jerkbait (fast twitch),Red craw & Chrome blue,Main lake flats & Wind-blown secondary points,4-8 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Windy,Afternoon,Lake,Spinnerbait (medium retrieve) & Jerkbait (pause-twitch),White/chartreuse & Ghost minnow,Wind-blown rocky banks & Gravel points,4-8 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Windy,Evening,Lake,Jerkbait (twitch-pause) & Lipless crankbait (yo-yo retrieve),Ghost minnow & Natural shad,Rocky banks & Windy shorelines,5-10 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Rainy,Morning,Lake,Suspending jerkbait (deadstick) & Flat-side crankbait (slow retrieve),Ghost shad & Green pumpkin,Secondary points & Gravel transitions,4-7 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Rainy,Afternoon,Lake,Swimbait (slow roll) & Spinnerbait (slow roll),Ayu & White/chartreuse,Gravel bars & Main lake pockets,5-10 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Rainy,Evening,Lake,Finesse jig (drag slowly) & Texas-rigged craw (lift-drop),Green pumpkin & Black/blue,Channel swings near flats & Secondary banks,6-10 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,After Rain,Morning,Lake,Chatterbait (medium retrieve) & Spinnerbait (slow roll),Green pumpkin shad & Chartreuse/white,Muddy inflow points & Flooded banks,3-7 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,After Rain,Afternoon,Lake,Squarebill crankbait (medium retrieve) & Lipless crankbait (fast retrieve),Chartreuse shad & Red craw,Shallow flats & Windy banks,2-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,After Rain,Evening,Lake,Lipless crankbait (fast retrieve) & Spinnerbait (medium retrieve),Chrome blue & White/chartreuse,Wind-blown coves & Gravel points,3-7 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Sunny,Morning,Lake,Spinnerbait (steady retrieve) & Chatterbait (slow roll),White/chartreuse & Green pumpkin,Shallow wood cover & Gravel bars,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Sunny,Afternoon,Lake,Chatterbait (slow roll) & Swim jig (slow retrieve),Green pumpkin & Black/blue,Vegetation edges & Brushy banks,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Sunny,Evening,Lake,Texas-rigged creature bait (lift-drop) & Flipping jig (slow hop),Junebug & Black/blue,Laydowns & Shallow brush piles,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Cloudy,Morning,Lake,Squarebill crankbait (medium retrieve) & Chatterbait (steady retrieve),Sexy shad & Chartreuse shad,Riprap banks & Wind-blown points,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Cloudy,Afternoon,Lake,Swim jig (slow retrieve) & Spinnerbait (slow roll),Green pumpkin blue flake & White/chartreuse,Brushy points & Shallow pockets,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Cloudy,Evening,Lake,Chatterbait (slow retrieve) & Texas-rigged creature bait (drag),White/chartreuse & Junebug,Vegetation pockets & Flooded timber,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Windy,Morning,Lake,Spinnerbait (slow roll) & Chatterbait (medium retrieve),Chartreuse/white & Green pumpkin,Shallow rocky banks & Gravel points,3-7 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Windy,Afternoon,Lake,Lipless crankbait (yo-yo retrieve) & Jerkbait (pause-twitch),Fire craw & Natural shad,Wind-blown flats & Rocky transitions,4-8 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Windy,Evening,Lake,Chatterbait (slow roll) & Squarebill crankbait (medium retrieve),Green pumpkin & Chartreuse/black back,Shallow brush piles & Muddy banks,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Rainy,Morning,Lake,Spinnerbait (slow roll) & Flipping jig (slow hop),Chartreuse/white & Black/blue,Muddy inflows & Flooded cover,2-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Rainy,Afternoon,Lake,Chatterbait (medium retrieve) & Texas-rigged craw (slow lift),Green pumpkin & Black/blue,Vegetation pockets & Laydowns,3-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Rainy,Afternoon,Lake,Chatterbait (medium retrieve) & Squarebill crankbait (medium retrieve),Green pumpkin & Chartreuse shad,Muddy banks & Vegetation pockets,3-7 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Rainy,Evening,Lake,Spinnerbait (slow roll) & Texas-rigged creature bait (drag),White/chartreuse & Junebug,Shallow coves & Flooded brush,2-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,After Rain,Morning,Lake,Squarebill crankbait (medium retrieve) & Chatterbait (slow roll),Chartreuse/black back & Fire craw,Shallow pockets & Muddy transitions,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,After Rain,Afternoon,Lake,Chatterbait (slow retrieve) & Spinnerbait (slow roll),Green pumpkin & White/chartreuse,Muddy flats & Flooded vegetation,2-4 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,After Rain,Evening,Lake,Lipless crankbait (fast retrieve) & Jerkbait (pause-twitch),Red craw & Natural shad,Muddy secondary points & Windy edges,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Sunny,Morning,Pond,Black/blue jig (slow drag) & Texas-rigged creature bait (lift-drop),Black/blue & Junebug,Shallow wood near shore & Vegetation edges,1-4 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Sunny,Afternoon,Pond,Chatterbait (slow retrieve) & Spinnerbait (slow roll),Black/chartreuse & Fire craw,Vegetation edges & Algae mats,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Sunny,Evening,Pond,Buzzbait (slow retrieve) & Soft swimbait (slow roll),Black & Pearl white,Mucky shallows & Grass edges,1-3 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Cloudy,Morning,Pond,Spinnerbait (Colorado blade  slow roll) & Chatterbait (slow retrieve),Black neon & Chartreuse black,Muddy shallows & Grass mats,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Cloudy,Afternoon,Pond,Chatterbait (slow pump) & Texas-rigged craw (slow drag),Fire craw & Junebug,Flooded timber & Vegetation lines,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Cloudy,Evening,Pond,Texas-rigged creature bait (lift-drop) & Flipping jig (slow hop),Junebug & Black/blue,Grass beds & Brushy cover,2-4 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Windy,Morning,Pond,Spinnerbait (slow roll) & Chatterbait (medium retrieve),Chartreuse/black back & Green pumpkin,Muddy shallow edges & Vegetation seams,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Windy,Afternoon,Pond,Chatterbait (medium retrieve) & Squarebill crankbait (steady retrieve),Black/blue & Fire craw,Muddy banks & Flooded wood,2-4 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Windy,Evening,Pond,Buzzbait (slow retrieve) & Texas-rigged craw (slow hop),Black & Junebug,Grass mats & Shallow brush,1-3 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Rainy,Morning,Pond,Spinnerbait (slow roll) & Chatterbait (slow retrieve),Black neon & Green pumpkin,Muddy inflow points & Vegetation pockets,1-4 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Rainy,Afternoon,Pond,Chatterbait (slow roll) & Swim jig (steady retrieve),Green pumpkin & Black/blue,Vegetation pockets & Grass beds,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Rainy,Evening,Pond,Topwater frog (slow walk) & Buzzbait (slow retrieve),Black & White,Matted grass & Shallow mats,1-3 feet
